0,21.083
0.25,21.3841805556
0.5,21.5545416667
0.75,21.6977777778
1,21.8404305556
1.25,21.9825
1.5,22.1239861111
1.75,22.2648888889
2,22.4052083333
2.25,22.5449444444
2.5,22.6840972222
2.75,22.8271527778
3,22.9699027778
3.25,23.1071666667
3.5,23.2367361111
3.75,23.3597222222
4,23.4792916667
4.25,23.5989027778
4.5,23.7207916667
4.75,23.8450277778
5,23.969125
5.25,24.0886805556
5.5,24.1993611111
5.75,24.3008055556
6,24.4019027778
6.25,24.5256944444
6.5,24.7091527778
6.75,24.9901805556
7,25.3640138889
7.25,25.7017222222
7.5,26.0012083333
7.75,26.2624583333
8,26.4854861111
8.25,26.6702777778
8.5,26.8168333333
8.75,26.9251666667
9,26.9952777778
9.25,27.0271527778
9.5,27.0208055556
9.75,26.9762222222
10,26.8934166667
10.25,26.772375
10.5,26.6130972222
10.75,26.4156111111
11,26.179875
11.25,25.9059166667
11.5,25.5937361111
11.75,25.2434583333
12,24.8762638889
12.25,24.5059444444
12.5,24.1534444444
12.75,23.8339861111
13,23.5577222222
13.25,23.3304861111
13.5,23.1542638889
13.75,23.0276944444
14,22.9463611111
14.25,22.9030138889
14.5,22.8876666667
14.75,22.8876666667
15,22.8876666667
