0,1.75
1,1.75
2,1.75
3,1.83333
4,1.83333
5,1.83333
6,1.83333
7,1.91667
8,1.91667
9,2
10,2
11,2.08338
12,2.08338
13,2.16671
14,2.16671
15,2.16669
16,2.16672
17,2.16672
18,2.16671
19,2.16672
20,2.16671
21,2.16673
22,2.16673
23,1.29493
24,1.31492
25,1.31492
26,1.39026
27,1.39026
28,1.40899
29,1.44967
30,1.44968
31,1.45205
32,1.45205
33,1.45205
34,1.49894
35,1.5288
36,1.5288
37,1.55977
38,1.56873
39,1.59152
40,1.59152
41,1.59157
42,1.59731
43,1.59731
44,1.59774
45,1.68914
46,0.933698
47,1.28896
48,1.2889
49,1.44262
50,1.44263
51,1.49104
52,1.49101
53,1.51881
54,1.10946
55,1.27614
56,1.37703
57,1.37704
58,1.49404
59,1.50392
60,1.54696
61,1.54694
