0,21.0088611111
0.25,21.3476805556
0.5,21.5296527778
0.75,21.6171388889
1,21.6513055556
1.25,21.6589166667
1.5,21.6571805556
1.75,21.6572083333
2,21.6572361111
2.25,21.6572638889
2.5,21.6572916667
2.75,21.6573055556
3,21.6573333333
3.25,21.6573472222
3.5,21.657375
3.75,21.6573888889
4,21.6574027778
4.25,21.6574166667
4.5,21.6574305556
4.75,21.6574444444
5,21.6574583333
5.25,21.6574722222
5.5,21.6574722222
5.75,21.6574861111
6,21.6574861111
6.25,21.6574861111
6.5,21.6574861111
6.75,21.6574861111
7,21.6574861111
7.25,21.5725277778
7.5,21.5685694444
7.75,21.5647916667
8,21.5611944444
8.25,21.5577638889
8.5,21.5545
8.75,21.5514166667
9,21.5484861111
9.25,21.5457222222
9.5,21.5431111111
9.75,21.5406527778
10,21.5383472222
10.25,21.5361805556
10.5,21.5341527778
10.75,21.53225
11,21.5304722222
11.25,21.5294305556
11.5,21.5288194444
11.75,21.5284583333
12,21.52825
12.25,21.5281111111
12.5,21.5280277778
12.75,21.5279722222
13,21.5279305556
13.25,21.5278888889
13.5,21.527875
13.75,21.5278472222
14,21.5278333333
14.25,21.5278194444
14.5,21.5278055556
14.75,21.5278055556
15,21.5278055556
